"","title","author","subject","abstract","meta"
"11","HEX: High-pressure Elemental Xstals, a complete Database","Federico Giannessi, Simone Di Cataldo, Santanu Saha, Lilia Boeri","Materials Science (cond-mat.mtrl-sci)","This paper introduces the HEX (High-pressure Elemental Xstals) database, a complete database of the ground-state crystal structures of the first 57 elements of the periodic table, from H to La, at 0, 100, 200 and 300 GPa. HEX aims to provide a unified reference for high-pressure research, by compiling all available experimental information on elements at high pressure, and complementing it with the results of accurate evolutionary crystal structure prediction runs based on Density Functional Theory. Besides offering a much-needed reference, our work also serves as a benchmark of the accuracy of current ab-initio methods for crystal structure prediction. We find that, in 98 % of the cases in which experimental information is available, ab-initio crystal structure prediction yields structures which either coincide or are degenerate in enthalpy to within 300 K with experimental ones. The main manuscript contains synthetic tables and figures, while the Crystallographic Information File (cif) for all structures will be available on a figshare online repository when the paper will be published.","Thu, 14 Mar 2024 17:22:04 UTC (7,163 KB)"
"12","Algorithmic syntactic causal identification","Dhurim Cakiqi, Max A. Little","Artificial Intelligence (cs.AI)","Causal identification in causal Bayes nets (CBNs) is an important tool in causal inference allowing the derivation of interventional distributions from observational distributions where this is possible in principle. However, most existing formulations of causal identification using techniques such as d-separation and do-calculus are expressed within the mathematical language of classical probability theory on CBNs. However, there are many causal settings where probability theory and hence current causal identification techniques are inapplicable such as relational databases, dataflow programs such as hardware description languages, distributed systems and most modern machine learning algorithms. We show that this restriction can be lifted by replacing the use of classical probability theory with the alternative axiomatic foundation of symmetric monoidal categories. In this alternative axiomatization, we show how an unambiguous and clean distinction can be drawn between the general syntax of causal models and any specific semantic implementation of that causal model. This allows a purely syntactic algorithmic description of general causal identification by a translation of recent formulations of the general ID algorithm through fixing. Our description is given entirely in terms of the non-parametric ADMG structure specifying a causal model and the algebraic signature of the corresponding monoidal category, to which a sequence of manipulations is then applied so as to arrive at a modified monoidal category in which the desired, purely syntactic interventional causal model, is obtained. We use this idea to derive purely syntactic analogues of classical back-door and front-door causal adjustment, and illustrate an application to a more complex causal model.","Thu, 14 Mar 2024 17:14:53 UTC (16 KB)"
"13","The NeRFect Match: Exploring NeRF Features for Visual Localization","Qunjie Zhou, Maxim Maximov, Or Litany, Laura Leal-Taixé","Computer Vision and Pattern Recognition (cs.CV)","In this work, we propose the use of Neural Radiance Fields (NeRF) as a scene representation for visual localization. Recently, NeRF has been employed to enhance pose regression and scene coordinate regression models by augmenting the training database, providing auxiliary supervision through rendered images, or serving as an iterative refinement module. We extend its recognized advantages -- its ability to provide a compact scene representation with realistic appearances and accurate geometry -- by exploring the potential of NeRF's internal features in establishing precise 2D-3D matches for localization. To this end, we conduct a comprehensive examination of NeRF's implicit knowledge, acquired through view synthesis, for matching under various conditions. This includes exploring different matching network architectures, extracting encoder features at multiple layers, and varying training configurations. Significantly, we introduce NeRFMatch, an advanced 2D-3D matching function that capitalizes on the internal knowledge of NeRF learned via view synthesis. Our evaluation of NeRFMatch on standard localization benchmarks, within a structure-based pipeline, sets a new state-of-the-art for localization performance on Cambridge Landmarks.","Thu, 14 Mar 2024 17:11:49 UTC (3,283 KB)"
"14","Impact of Synthetic Images on Morphing Attack Detection Using a Siamese Network","Juan Tapia, Christoph Busch","Computer Vision and Pattern Recognition (cs.CV)","This paper evaluated the impact of synthetic images on Morphing Attack Detection (MAD) using a Siamese network with a semi-hard-loss function. Intra and cross-dataset evaluations were performed to measure synthetic image generalisation capabilities using a cross-dataset for evaluation. Three different pre-trained networks were used as feature extractors from traditional MobileNetV2, MobileNetV3 and EfficientNetB0. Our results show that MAD trained on EfficientNetB0 from FERET, FRGCv2, and FRLL can reach a lower error rate in comparison with SOTA. Conversely, worse performances were reached when the system was trained only with synthetic images. A mixed approach (synthetic + digital) database may help to improve MAD and reduce the error rate. This fact shows that we still need to keep going with our efforts to include synthetic images in the training process.","Thu, 14 Mar 2024 13:31:56 UTC (12,705 KB)"
"15","Retrieval augmented text-to-SQL generation for epidemiological question answering using electronic health records","Angelo Ziletti, Leonardo D'Ambrosi","Computation and Language (cs.CL)","Electronic health records (EHR) and claims data are rich sources of real-world data that reflect patient health status and healthcare utilization. Querying these databases to answer epidemiological questions is challenging due to the intricacy of medical terminology and the need for complex SQL queries. Here, we introduce an end-to-end methodology that combines text-to-SQL generation with retrieval augmented generation (RAG) to answer epidemiological questions using EHR and claims data. We show that our approach, which integrates a medical coding step into the text-to-SQL process, significantly improves the performance over simple prompting. Our findings indicate that although current language models are not yet sufficiently accurate for unsupervised use, RAG offers a promising direction for improving their capabilities, as shown in a realistic industry setting.","Thu, 14 Mar 2024 09:45:05 UTC (468 KB)"
"16","AI on AI: Exploring the Utility of GPT as an Expert Annotator of AI Publications","Autumn Toney-Wails, Christian Schoeberl, James Dunham","Computation and Language (cs.CL)","Identifying scientific publications that are within a dynamic field of research often requires costly annotation by subject-matter experts. Resources like widely-accepted classification criteria or field taxonomies are unavailable for a domain like artificial intelligence (AI), which spans emerging topics and technologies. We address these challenges by inferring a functional definition of AI research from existing expert labels, and then evaluating state-of-the-art chatbot models on the task of expert data annotation. Using the arXiv publication database as ground-truth, we experiment with prompt engineering for GPT chatbot models to identify an alternative, automated expert annotation pipeline that assigns AI labels with 94% accuracy. For comparison, we fine-tune SPECTER, a transformer language model pre-trained on scientific publications, that achieves 96% accuracy (only 2% higher than GPT) on classifying AI publications. Our results indicate that with effective prompt engineering, chatbots can be used as reliable data annotators even where subject-area expertise is required. To evaluate the utility of chatbot-annotated datasets on downstream classification tasks, we train a new classifier on GPT-labeled data and compare its performance to the arXiv-trained model. The classifier trained on GPT-labeled data outperforms the arXiv-trained model by nine percentage points, achieving 82% accuracy.","Thu, 14 Mar 2024 04:43:02 UTC (270 KB)"
"17","Digitization of Astronomical Photographic Plate of China and Astrometric Measurement of Single-exposure Plates","Zheng-Jun Shang, Yong Yu, Liang-Liang Wang, Mei-Ting Yang, Jing Yang, Shi-Yin Shen, Min Liu, Quan-Feng Xu, Chen-Zhou Cui, Dong-Wei Fan, Zheng-Hong Tang, Jian-Hai Zhao","Instrumentation and Methods for Astrophysics (astro-ph.IM)","From the mid-19th century to the end of the 20th century, photographic plates served as the primary detectors for astronomical observations. Astronomical photographic observations in China began in 1901, and over a century, a total of approximately 30,000 astronomical photographic plates have been captured. These historical plates play an irreplaceable role in conducting long-term, time-domain astronomical research. To preserve and explore these valuable original astronomical observational data, Shanghai Astronomical Observatory has organized the transportation of plates taken at night from various stations across the country to the Sheshan Plate Archive for centralized preservation. For the first time, plate information statistics was performed. On this basis, the plates were cleaned and digitally scanned, and finally digitized images were acquired for 29,314 plates. In this study, using Gaia DR2 as the reference star catalog, astrometric processing has been carried out successfully on 15,696 single-exposure plates, including object extraction, stellar identification, and plate model computation. As a result, for long focal length telescopes, such as the 40cm double-tube refractor telescope and the 1.56m reflector telescope at the Shanghai Astronomical Observatory and the 1m reflector telescope at the Yunnan Astronomical Observatory, the astrometric accuracy obtained for their plates is approximately 0.1"" to 0.3"". The distribution of astrometric accuracy for medium and short focal length telescopes ranges from 0.3"" to 1.0"". The relevant data of this batch of plates, including digitized images and stellar catalog of the plates are archived and released by the National Astronomical Data Center. Users can access and download plate data based on keywords such as station, telescope, observation year, and observed celestial coordinates.","Thu, 14 Mar 2024 04:38:50 UTC (2,823 KB)"
"18","Using Deep Learning for Morphological Classification in Pigs with a Focus on Sanitary Monitoring","Eduardo Bedin, Junior Silva Souza, Gabriel Toshio Hirokawa Higa, Alexandre Pereira, Charles Kiefer, Newton Loebens, Hemerson Pistori","Computer Vision and Pattern Recognition (cs.CV)","The aim of this paper is to evaluate the use of D-CNN (Deep Convolutional Neural Networks) algorithms to classify pig body conditions in normal or not normal conditions, with a focus on characteristics that are observed in sanitary monitoring, and were used six different algorithms to do this task. The study focused on five pig characteristics, being these caudophagy, ear hematoma, scratches on the body, redness, and natural stains (brown or black). The results of the study showed that D-CNN was effective in classifying deviations in pig body morphologies related to skin characteristics. The evaluation was conducted by analyzing the performance metrics Precision, Recall, and F-score, as well as the statistical analyses ANOVA and the Scott-Knott test. The contribution of this article is characterized by the proposal of using D-CNN networks for morphological classification in pigs, with a focus on characteristics identified in sanitary monitoring. Among the best results, the average Precision metric of 80.6\% to classify caudophagy was achieved for the InceptionResNetV2 network, indicating the potential use of this technology for the proposed task. Additionally, a new image database was created, containing various pig's distinct body characteristics, which can serve as data for future research.","Wed, 13 Mar 2024 21:05:34 UTC (34,280 KB)"
"19","Measuring the bioeconomy economically: exploring the connections between concepts, methods, data, indicators and their limitations","Sebastián Leavy, Gabriela Allegretti, Elen Presotto, Marco Antonio Montoya, Edson Talamini","General Economics (econ.GN)","Despite its relevance, measuring the contributions of the bioeconomy to national economies remains an arduous task that faces limitations. Part of the difficulty is associated with the lack of a clear and widely accepted concept of the bioeconomy and moves on to the connections between methods, data and indicators. The present study aims to define the concepts of bioeconomy and to explore the connections between concepts, methods, data and indicators when measuring the bioeconomy economically, and the limitations involved in this process. The bioeconomy concepts were defined based on a literature review and a content analysis of 84 documents selected through snowballing procedures to find articles measuring 'how big is the bioeconomy?'. The content of the 84 documents was uploaded to the QDA Miner software and coded according to the bioeconomy concept, the methods or models used, the data sources accessed, the indicators calculated, and the limitations reported by the authors. The results of the occurrence and co-occurrence of the codes were extracted and analyzed statistically, indicating that the measurement of bioeconomy (i) need recognize and pursue the proposed concept of holistic bioeconomy; (ii) rarely considered aspects of holistic bioeconomy (3.5%); (iii) is primarily based on the concept of biomass-based bioeconomy (BmBB) (94%); (iv) the association with the concept of biosphere (BsBB) appeared in 26% of the studies; (v) the biotech-based bioeconomy (BtBB) was the least frequent (1.2%); (vi) there is a diversity of methods and models, but the most common are those traditionally used to measure macroeconomic activities, especially input-output models; (vii) depending on the prevailing methods, the data comes from various official statistical databases, such as national accounts and economic activity classification systems;...","Wed, 13 Mar 2024 18:14:32 UTC (10,634 KB)"
"20","Stacking-based deep neural network for player scouting in football 1","Simon Lacan (IMT Nord Europe)","Machine Learning (cs.LG)","Datascouting is one of the most known data applications in professional sport, and specifically football. Its objective is to analyze huge database of players in order to detect high potentials that can be then individually considered by human scouts. In this paper, we propose a stacking-based deep learning model to detect high potential football players. Applied on open-source database, our model obtains significantly better results that classical statistical methods.","Wed, 13 Mar 2024 08:10:18 UTC (894 KB)"
"21","ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation","Sayar Ghosh Roy, Jiawei Han","Information Retrieval (cs.IR)","Existing Machine Learning approaches for local citation recommendation directly map or translate a query, which is typically a claim or an entity mention, to citation-worthy research papers. Within such a formulation, it is challenging to pinpoint why one should cite a specific research paper for a particular query, leading to limited recommendation interpretability. To alleviate this, we introduce the evidence-grounded local citation recommendation task, where the target latent space comprises evidence spans for recommending specific papers. Using a distantly-supervised evidence retrieval and multi-step re-ranking framework, our proposed system, ILCiteR, recommends papers to cite for a query grounded on similar evidence spans extracted from the existing research literature. Unlike past formulations that simply output recommendations, ILCiteR retrieves ranked lists of evidence span and recommended paper pairs. Secondly, previously proposed neural models for citation recommendation require expensive training on massive labeled data, ideally after every significant update to the pool of candidate papers. In contrast, ILCiteR relies solely on distant supervision from a dynamic evidence database and pre-trained Transformer-based Language Models without any model training. We contribute a novel dataset for the evidence-grounded local citation recommendation task and demonstrate the efficacy of our proposed conditional neural rank-ensembling approach for re-ranking evidence spans.","Wed, 13 Mar 2024 17:38:05 UTC (903 KB)"
"22","Evaluation and comparison of covariate balance metrics in studies with time-dependent confounding","David Adenyo, Jason R. Guertin, Bernard Candas, Caroline Sirois, Denis Talbot","Methodology (stat.ME)","Marginal structural models have been increasingly used by analysts in recent years to account for confounding bias in studies with time-varying treatments. The parameters of these models are often estimated using inverse probability of treatment weighting. To ensure that the estimated weights adequately control confounding, it is possible to check for residual imbalance between treatment groups in the weighted data. Several balance metrics have been developed and compared in the cross-sectional case but have not yet been evaluated and compared in longitudinal studies with time-varying treatment. We have first extended the definition of several balance metrics to the case of a time-varying treatment, with or without censoring. We then compared the performance of these balance metrics in a simulation study by assessing the strength of the association between their estimated level of imbalance and bias. We found that the Mahalanobis balance performed best.Finally, the method was illustrated for estimating the cumulative effect of statins exposure over one year on the risk of cardiovascular disease or death in people aged 65 and over in population-wide administrative data. This illustration confirms the feasibility of employing our proposed metrics in large databases with multiple time-points.","Wed, 13 Mar 2024 14:33:33 UTC (1,072 KB)"
"23","Metallicities for more than 10 million stars derived from Gaia BP/RP spectra","T. Xylakis-Dornbusch, N. Christlieb, T.T. Hansen, T.Nordlander, K. B. Webber, J. Marshall","Solar and Stellar Astrophysics (astro-ph.SR)","Context. The third Gaia Data Release, which includes BP/RP spectra for 219 million sources, has opened a new window in the exploration of the chemical history and evolution of the Milky Way. The wealth of information encapsulated in these data is far greater than their low resolving power (R=50) at first glance would suggest, as shown in many studies. We zero in on the use of this data for the purpose of the detection of ''new'' metal-poor stars, which are hard to find yet essential for understanding - among other - several aspects of the origin of the Galaxy, star formation and the creation of the elements. Aims. We strive to refine a metal-poor candidate selection method which was developed with simulated Gaia BP/RP spectra, with an ultimate objective of providing the community with both a recipe to select stars for medium/high resolution observations and a catalogue of stellar metallicities. Methods. We used a datased comprised of GALAH DR3 and SAGA database stars in order to verify and adjust to real world data our selection method. For that purpose, we used dereddening as a mean to tackle the issue of extinction, and then we applied our fine-tuned method to select metal-poor candidates, which we thereafter observed and analysed. Results. We were able to infer metallicities for GALAH DR3 and SAGA stars - with color excesses up to E(B-V)<1.5 - with an uncertainty of 0.36 dex, which is good enough for the purpose of identifying new metal-poor stars. Further, we selected 26 metal-poor candidates - via our method - for observations. As spectral analysis showed, 100% of them had [Fe/H]<-2.0, 57% had [Fe/H]<-2.5 and 8% had [Fe/H]<-3.0. We inferred metallicities for these stars with an uncertainty of 0.31 dex, as was proven when comparing to the spectroscopic [Fe/H]. Finally, we assembled a catalogue of metallicities for 10 861 062 stars.","Wed, 13 Mar 2024 12:08:43 UTC (6,912 KB)"
"24","The Development and Performance of a Machine Learning Based Mobile Platform for Visually Determining the Etiology of Penile Pathology","Lao-Tzu Allan-Blitz, Sithira Ambepitiya, Raghavendra Tirupathi, Jeffrey D. Klausner, Yudara Kularathne","Image and Video Processing (eess.IV)","Machine-learning algorithms can facilitate low-cost, user-guided visual diagnostic platforms for addressing disparities in access to sexual health services. We developed a clinical image dataset using original and augmented images for five penile diseases: herpes eruption, syphilitic chancres, penile candidiasis, penile cancer, and genital warts. We used a U-net architecture model for semantic pixel segmentation into background or subject image, the Inception-ResNet version 2 neural architecture to classify each pixel as diseased or non-diseased, and a salience map using GradCAM++. We trained the model on a random 91% sample of the image database using 150 epochs per image, and evaluated the model on the remaining 9% of images, assessing recall (or sensitivity), precision, specificity, and F1-score (accuracy). Of the 239 images in the validation dataset, 45 (18.8%) were of genital warts, 43 (18.0%) were of HSV infection, 29 (12.1%) were of penile cancer, 40 (16.7%) were of penile candidiasis, 37 (15.5%) were of syphilitic chancres, and 45 (18.8%) were of non-diseased penises. The overall accuracy of the model for correctly classifying the diseased image was 0.944. Between July 1st and October 1st 2023, there were 2,640 unique users of the mobile platform. Among a random sample of submissions (n=437), 271 (62.0%) were from the United States, 64 (14.6%) from Singapore, 41 (9.4%) from Candia, 40 (9.2%) from the United Kingdom, and 21 (4.8%) from Vietnam. The majority (n=277 [63.4%]) were between 18 and 30 years old. We report on the development of a machine-learning model for classifying five penile diseases, which demonstrated excellent performance on a validation dataset. That model is currently in use globally and has the potential to improve access to diagnostic services for penile diseases.","Wed, 13 Mar 2024 11:05:40 UTC (601 KB)"
"25","Learning to Describe for Predicting Zero-shot Drug-Drug Interactions","Fangqi Zhu, Yongqi Zhang, Lei Chen, Bing Qin, Ruifeng Xu","Computation and Language (cs.CL)","Adverse drug-drug interactions~(DDIs) can compromise the effectiveness of concurrent drug administration, posing a significant challenge in healthcare. As the development of new drugs continues, the potential for unknown adverse effects resulting from DDIs becomes a growing concern. Traditional computational methods for DDI prediction may fail to capture interactions for new drugs due to the lack of knowledge. In this paper, we introduce a new problem setup as zero-shot DDI prediction that deals with the case of new drugs. Leveraging textual information from online databases like DrugBank and PubChem, we propose an innovative approach TextDDI with a language model-based DDI predictor and a reinforcement learning~(RL)-based information selector, enabling the selection of concise and pertinent text for accurate DDI prediction on new drugs. Empirical results show the benefits of the proposed approach on several settings including zero-shot and few-shot DDI prediction, and the selected texts are semantically relevant. Our code and data are available at \url{this https URL}.","Wed, 13 Mar 2024 09:42:46 UTC (1,717 KB)"
