"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"14","new balance 1080v12 running sneakers","sizing","amazon customer","i usually wear   in shoes but in new balance i always get an  and it fits great so that is what i got the shoes are way too long but are super narrow so i can see what others meant in their reviews i returned for an wide  hoping they fit the shoes themselves have great cushion much more than my cheaper version of new balance",2023-04-18,5,"verified purchase"
"15","new balance 1080v12 running sneakers","very comfy","hunter l","i am a nurse in the or at a hospital and i am on my feet all day i was looking for a pair of shoes that were going to be super comfy for my  hour shifts and the new balance s had been recommended to me ive been wearing them for a couple weeks now and love them although they did take a couple shifts to get softened up they felt a little hard at first",2023-07-24,4,"verified purchase"
"16","new balance 1080v12 running sneakers","running shoes","catherine  herring","received these too fast my go to running shoes",2023-11-15,5,"verified purchase"
"17","new balance 1080v12 running sneakers","super comfy but runs  sizes too big","charleen bradley","im usually an  but had to send back for   still big but love the look  already worn through the big toe section probably wont last long  but very comfortable for now",2023-05-11,5,"verified purchase"
"18","new balance 1080v12 running sneakers","great show but go down half a size","amazon customer","running distance and needing support and comfort this shoe was recommended for me great fit not too much room width wise in the toe box but did need to go down a half size i usually wear  for running and  in all other shoes but i orderd the  and they work great the peach color is definitely a lot brighter in person so if you dont like neon dont get that color happy running",2023-02-24,4,"verified purchase"
"19","new balance 1080v12 running sneakers","fit and color","mv","i loved these shoes as i received them for christmas my husband ordered the size i normally wear in new balance however these fit almost a size larger i was so disappointed to send these back i could tell they would have been a comfortable shoe maybe not for high impact sports or running but for a lot walking or standing for long periods of time these would be perfect i took one star off because the sizing in my opinion was off",2023-02-16,4,"verified purchase"
"20","new balance 1080v12 running sneakers","walking on clouds","ray","these are exactly what i was looking for i have custom insoles to treat my flat feet and theyre pretty thick  its always been a struggle to find sneakers that have a deep enough heel cup to accommodate my insoles these sneakers fit them in perfectly enough room for my insoles and my heels dont slip out when i walk theyre so fluffy to walk with and obviously wellmade very good construction good materials stretchy laces and soft mesh im always a  in normal shoes but an  in new balance so these technically fit according to size i love the wide versions of new balance sneakers  soooo comfortable dont hesitate and get these immediately i havent washed them in the machine yet but i imagine theyll come out good as new when its time",2022-09-16,4,"verified purchase"
"21","new balance 1080v12 running sneakers","great for zumba exercising","happywife","comfortable and supportive hasots of padding but not too squishy will buy again",2023-10-21,4,"verified purchase"
"22","new balance 1080v12 running sneakers","new balance","lavaune hurt","perfect shoe true to size most comfortable running shoes in the planet",2023-10-15,5,"verified purchase"
"23","new balance 1080v12 running sneakers","good shoes","alexis","they fitted as expected and are very comfortable i work  hours shifts at a hospital and im very pleased with this purchase",2023-09-15,5,"verified purchase"
"24","new balance 1080v12 running sneakers","perfect fit","jmz","lightweight comfortable fit i can walk and stand in them all day and i would definitely order again",2023-09-13,5,"verified purchase"
"25","new balance 1080v12 running sneakers","not worth price","amazon customer","ive had these shoes for less than four months and i already need a new pair i absolutely love new balance and they usually last me a lot longer i feel like for the amount of money i paid for these shoes this shouldnt be happening im experiencing a lot of leg and foot pain",2024-01-18,5,"verified purchase"
"26","new balance 1080v12 running sneakers","very cute","destiny","havent tried them on but i love them i was a little hesitant about buying the all white new balances simply because plain white hardly looks good on me but i dont have a doubt with these because they are so cute and look very comfy which is my style",2023-06-21,2,"verified purchase"
"27","new balance 1080v12 running sneakers","pillowy soft","jenwg","i have been a diehard asics wearer for ten years and after a series of failed redesigns and discontinuations i tried new balance the ff s are so comfortably squishy and soft for periods of long wear great for supinators with the low heeltotoe height roomy toe box and snug heel i ignored multiple recommendations because of my loyalty to asics but now i am a believer",2023-04-11,5,"verified purchase"
"28","new balance 1080v12 running sneakers","super comfortable","jana","it really feels like i am walking on a cloud i am on my feet  hours a day doing support work for folks with disabilities and at the end of the day unlike other shoes im in no hurry to take them off bcuz they are so comfortable will be repurchasing when these wear down",2023-06-16,5,"verified purchase"
"29","new balance 1080v12 running sneakers","super support and comfort","claudia dozier","liked how they fit accurately and feel so goodthis a great shoe",2023-09-15,5,"verified purchase"
"30","new balance 1080v12 running sneakers","fit they are so roomy in the toe area ","shirley turner","love the shoes",2023-10-07,5,"verified purchase"
"31","new balance 1080v12 running sneakers","love these","wendy d","i really like these running shoes my second pair i find them very well cushioned",2023-07-24,4,"verified purchase"
"32","new balance 1080v12 running sneakers","super comfortable","danyelle","these shoes are extremely comfortable i wear a  wide in womens and ordered an  regular i could have probably went down an size",2023-07-12,5,"verified purchase"
"33","new balance 1080v12 running sneakers","best shoes for support","danyelle","fast shipping best shoes for someone on their feet all day  great fit excellent support and comfort",2023-07-16,5,"verified purchase"
"34","new balance 1080v12 running sneakers","honestly not that comfortable","jimmy moss","they are ok but nothing special in terms of comfort they feel like quality shoes but they arent really soft or foamy they feel pretty stiff to me ill be returning them",2023-06-19,5,"verified purchase"
"35","new balance 1080v12 running sneakers","finally a perfect fit","brad a","i was born blessed with an extra wide forefoot and skinny heel  this makes it impossible to find shoes that truly fit without slipping in the heel area  i can finally say a shoe manufacturer got it right  my feet have found their true home lightweight cushioned and attractive  ive found footwear bliss",2023-02-09,5,"verified purchase"
"36","new balance 1080v12 running sneakers","the shoes i have been waiting for","linda t","enough support for stability and enough foam for comfort  highly recommend",2023-06-13,3,"verified purchase"
"37","new balance 1080v12 running sneakers","great shoes","elizabeth","love the fit comfort and style of the running shoe",2023-06-10,5,"verified purchase"
"38","new balance 1080v12 running sneakers","extremely comfortable","sandy eagel","these shoes extremely comfortable for standing all day at work also they support your feet well idefinitely would recommend these if youre on your feet all day",2023-04-01,5,"verified purchase"
"39","new balance 1080v12 running sneakers","comfy shoes","lisamarie","im a nurse and am on my feet for long hours these shoes are very comfortable",2023-05-22,5,"verified purchase"
"40","new balance 1080v12 running sneakers","very comfortable","adam","these have been my goto shoes for awhile i have fallen arches and am a teacher so on feet for long periods the cushioning is excellent and there is not a high arch in the shoe which great for people with flat feet  i have worn regular width in past but have had ankle surgery so went with wide perfect fit highly recommend",2022-12-06,5,"verified purchase"
"41","new balance 1080v12 running sneakers","great running shoes","sms","love these shoes and will be ordering a nd pair",2023-05-22,4,"verified purchase"
"42","new balance 1080v12 running sneakers","comfortable","amazon customer","too wide looking at the toe box looked like clown shoes",2023-06-16,5,"verified purchase"
"43","new balance 1080v12 running sneakers","cloud","hannah vivier","these are the first pair of running shoes i fell immediately in love with they are so comfortable",2023-05-02,3,"verified purchase"
"44","new balance 1080v12 running sneakers","love these  so cute","k l santos","i ordered these on try before you buy and immediately after trying them on i purchased them very comfortable and more beautiful in person",2023-02-16,5,"verified purchase"
"45","new balance 1080v12 running sneakers","cmodos","carmen ortiz","trabajo  horas caminando de lado a lado muy comodos",2023-03-09,5,"verified purchase"
"46","new balance 1080v12 running sneakers","comfortable  cool color","paula","love new balance shoes but i love bright yellow shoes they are the first to sell out",2023-02-12,5,"verified purchase"
"47","new balance 1080v12 running sneakers","love these shoes","ingrid","awesome comfort",2023-04-19,5,"verified purchase"
"48","new balance 1080v12 running sneakers","conforn","sofia gonzalez","absolutamente confortables y hermosos",2023-03-23,5,"verified purchase"
"49","new balance 1080v12 running sneakers","arch support","sofia gonzalez","pretty good arch support",2023-03-13,5,"verified purchase"
"50","new balance 1080v12 running sneakers","most comfortable shoes ever","bonnie c","i have a hard to find size   eee and the   xwide are the most comfortable sneakers ive owned in many years the fit is perfect",2022-08-09,5,"verified purchase"
"51","tommy hilfiger essential leather sneaker","good quality  value","nikhil","good service and quality product",2023-11-30,4,"verified purchase"
"52","tommy hilfiger essential leather sneaker","dfaut de fabrication coupure pied droit","chris","jespre un contact avec le vendeur quil puisse me renvoyer une autre paire",2023-11-07,5,"verified purchase"
"53","tommy hilfiger essential leather sneaker","bequemer schuh","mr k sutcliffe","bequeme schuhesitzt und sieht gut aus",2023-12-11,3,"verified purchase"
"54","tommy hilfiger essential leather sneaker","comodas","karine","muy cmodas y bonitas",2023-08-23,5,"verified purchase"
"55","tommy hilfiger essential leather sneaker","scarpe comode e con un bel design","karine","scarpe comode e versatili adatte all abbigliamento sportivo e casual",2024-02-13,1,"verified purchase"
"56","tommy hilfiger essential leather sneaker","boite a chaussure","levinia kern","bonjour la paire de basket est trs jolie mais faut faire attention  la pointure car elles sont trop grande aprs avoir vue les avis cest ce quil ma fait prendre du  alors que je fais du  franais  mais il y a encore une demi pointure en plus  donc pour ces baskets faut lever une pointure et demi pour retrouver une pointure normale  jai rencontr aussi un autre problme  la livraison jai reus mes baskets dans sa boite avec une grosse tiquette dessus de mon adresse que je ne peu plus lever car je risque de labimer et aucune protection pour la boite  chaussure sachet papier bulle gomme carton   la boite souvrait toute seule tout le monde  pu voir que ctait des baskets  jai eu de la chance quelles soient arriv chez moi  mis  par a tout va merci",2024-01-09,1,"verified purchase"
"57","tommy hilfiger essential leather sneaker","very good looking but size not good","yolanda r","i liked this sneakers allot and they feel well made however the size is not right for me so i had to send them back",2024-01-04,5,"verified purchase"
"58","tommy hilfiger essential leather sneaker","son tal cual en la foto","manuela","son divinas",2023-12-14,5,"verified purchase"
"59","tommy hilfiger essential leather sneaker","bien","momon","bien",2022-06-24,4,"verified purchase"
"60","tommy hilfiger essential leather sneaker","great sneaker","catalin","i love it fits well and i will definitely  consider another pair",2024-01-06,4,"verified purchase"
"61","tommy hilfiger essential leather sneaker","excellent","nikhil","trs belle et bonne qualit du cuir",2023-11-30,4,"verified purchase"
"62","tommy hilfiger essential leather sneaker","belle e comode","chris","the media could not be loaded                                                                        scarpe veramente molto belle e soprattutto comode nonostante il tacco sia basso risultano morbide e nn danno fastidio alla schiena consiglio una taglia pi piccola rispetto a quello che si calza normalmente infatti ho dovuto fare il reso e prendere un  al posto del ",2023-11-07,5,"verified purchase"
"63","tommy hilfiger essential leather sneaker","son muy bonitas","nous navons pas reu le mme article command et le numro de commande ne correspond pas nous allons dposer une plainte ","son bonitas y est bien terminadas por ponerle una pega es que en comparacin con otras marcas vienen grandecillos",2024-01-23,3,"verified purchase"
"64","tommy hilfiger essential leather sneaker","pointure exact","ivan","satisfaite des chaussures et bonne pointurepetit conseil prendre la pointure habituelle",2024-01-02,5,"verified purchase"
"65","tommy hilfiger essential leather sneaker","muy buenos","eduardo","llegaron a tiempo son de buena calidad muy bien",2024-03-14,5,"verified purchase"
"66","tommy hilfiger essential leather sneaker","excellent achat","bhulya","baskets conformes  la description confortables",2023-12-13,4,"verified purchase"
"67","tommy hilfiger essential leather sneaker","scarpe","cristian franco","ho acquistato queste scarpe per un regalo perfette",2024-03-15,5,"verified purchase"
"68","tommy hilfiger essential leather sneaker","schlechte qualitt","david petit","fr den alltag werden diese schuhe schnell abgenutzt und reissen sehr schade",2023-11-08,5,"verified purchase"
"69","tommy hilfiger essential leather sneaker","poor quality","giada","i bought these in august the leather started bubbling after about a month of light wearing by december it had started pealing off disappointed as ive bought cheaper pumps that were better quality i expected better quality for the price i paid",2024-02-08,5,"verified purchase"
"70","tommy hilfiger essential leather sneaker","mauvaise qualit","martins ribeiro jonathan","bonjour juste pour vous dire que suis trs du de mon dernier achat la qualit du cuir est de trs mauvaise qualit les tennis ont toust juste  mois et le cuir se fissure cuir cest du papier  cigarette cordialementfred flori",2024-01-27,5,"verified purchase"
"71","tommy hilfiger essential leather sneaker","white trainer shoes","nikhil","great value comfy trainer shoes",2023-11-30,4,"verified purchase"
"72","tommy hilfiger essential leather sneaker","trs belles bonne qualit","chris","bonne qualit gnrale semelle souple et confortabletaille grandje prends du  en nike pour tre confortable ici jai pris  et a taille juste",2023-11-07,5,"verified purchase"
"73","tommy hilfiger essential leather sneaker","top","lisa","super schuhe ",2023-12-17,3,"verified purchase"
"74","tommy hilfiger essential leather sneaker","belle ma attenti alla misura","nicolas veronesi","solitamente porto la  delle adidas quindi ho acquistato la taglia  anche di queste per vestono pi larghe sarebbe stato meglio acquistare la  quindi le scarpe sono ottime ma state attenti alla vestibilit",2023-10-05,5,"verified purchase"
"75","tommy hilfiger essential leather sneaker","magnifiques","dalibor","fines et confortables en promotion alors que dire dautreelles taillent bien",2024-02-17,5,"verified purchase"
"76","tommy hilfiger essential leather sneaker","mala calidad","paolo","bambas poco usadas y se han pelado por todas partes muy caras para la mala calidad que tienen",2023-12-03,5,"verified purchase"
"77","tommy hilfiger essential leather sneaker","schner schuh qualitt ungengend","missfrofro","zunchst mal hat man mit dem sneaker einen sehr schnen schuh die sohle die eine skyline einer stadt in der silhouette umreit finde ich sehr schn und auch ansonsten fhlt sich der schuh im ersten moment sehr wertig an was man bei dem preis und bei der marke auch erwarten sollteallerdings handelt es sich bei dem mantelmaterial ausschlielich um kunstlederdieses wiederum reit an den dafr prdestinierten stellen sehr schnell einich habe den schuh zunchst reklamiert weil ich dachte es sei einfach ein montagsmodellleider musste ich bei dem reklamierten schuh sehr schnell feststellen dass es anscheinend ein generelles problem ist der fakt dass hier kunstleder verarbeitet wird rechtfertigt den preis dieser schuhe nicht nur weil ein markt logo auf der seite aufgedruckt ist bin ich im nachgang nicht mehr bereit diesen schuh zu kaufen und kann ihn auch nicht weiterempfehlenqualitt ist in meinen augen ungengend und der schuh als solches einfach nur verschwendung",2023-12-11,3,"verified purchase"
"78","tommy hilfiger essential leather sneaker","white trainers","missfrofro","they are comfortable for what i purchased them for and look great",2023-12-16,5,"verified purchase"
"79","tommy hilfiger essential leather sneaker","son exactamente las zapatillas que queria","cliente amazon","fue la zapatilla que quera lucir estn muy bonitas",2023-09-30,5,"verified purchase"
"80","tommy hilfiger essential leather sneaker","scarpe comode e belle","tassilo w","le scarpe sono unautentica rivelazione comode fin dal primo passo il loro design  perfetto per ogni occasione leggere e alla moda si adattano al piede in modo impeccabile la consegna veloce di amazon ha reso lacquisto ancora pi piacevole consigliate a chi cerca comfort e stile in ununica soluzione",2023-12-06,1,"verified purchase"
"81","tommy hilfiger essential leather sneaker","trs agrable  porter","nikhil","trs agrable  porter",2023-11-30,4,"verified purchase"
"82","tommy hilfiger essential leather sneaker","attention  la pluie","chris","une soire sous la pluie et elle ont cloques",2023-11-07,5,"verified purchase"
"83","tommy hilfiger essential leather sneaker","sabme au bout d mois","manu hoebeke","a la rception trs satisfait du produit baskets portes quelques fois et mauvaise surprise elles cloques trs dcevant je vais contacter le service client",2023-10-15,3,"verified purchase"
"84","tommy hilfiger essential leather sneaker",NA,"bonleux denis",NA,2024-01-19,5,"verified purchase"
"85","tommy hilfiger essential leather sneaker","wunderbare passform","client damazon","wunderbare passformangenehm zu tragenschnes aussehennicht so wuchtig sehr elegant",2023-08-14,5,"verified purchase"
"86","tommy hilfiger essential leather sneaker","bom preoqualidade","neil hughes","no so as melhores sapatilhas que j calcei mas so bonitas fceis de limpar e so razoavelmente confortveis so o esperado",2024-01-07,3,"verified purchase"
"87","tommy hilfiger essential leather sneaker","le peggiori scarpe mai comprate sul serio","amazon kunde","dopo un mese di utilizzo quella che doveva essere pelle si inizia a staccare dalla scarpa come se ci fossero delle bolle sotto due mesi dopo si iniziano a crepare e si intravede il materiale sotto il rivestimento in pelle tre mesi dopo le scarpe sono inguardabili e pensare che costano  euro menomale almeno le ho pagate la met non comprer mai pi scarpe da brand che non sanno nati per fare scarpe torno a nike e consiglio di non comprare questa robaccia da due soldi",2024-01-12,5,"verified purchase"
"88","tommy hilfiger essential leather sneaker","ok","gonalo","ok",2024-01-29,5,"verified purchase"
"89","tommy hilfiger essential leather sneaker","cuir","luca p","estce vraiment du cuir mais sinon assez bonne facture le petit logo sur le cot est discret mais du meilleur effettaille un peu grand longueur et un peu troit mais bon rapport qualit prix  en ce qui me concerne je naurais pas pay le prix fort",2024-02-03,5,"verified purchase"
"90","tommy hilfiger essential leather sneaker","zapatillas","michael","estn bastante bien",2024-02-26,1,"verified purchase"
"91","tommy hilfiger essential leather sneaker","correcr","nikhil","article correct le seul bmol il ny a pas de boite",2023-11-30,4,"verified purchase"
"92","tommy hilfiger essential leather sneaker","tallan algo grandes","chris","tenis muy bonitos bsicos sencillos y aparentemente cmodos ya que en mi caso la talla me result ms grande de lo normal llevo un  pero en este modelo ese nmero me quedaba demasiado grande y he tenido que devolverlos",2023-11-07,5,"verified purchase"
"93","tommy hilfiger essential leather sneaker","meine lieblingsschuhe","ccoco","wirklich klasse schuhe die ich sehr gerne trage",2023-12-18,3,"verified purchase"
"94","tommy hilfiger essential leather sneaker","top","ajon","top",2023-11-24,4,"verified purchase"
"95","tommy hilfiger essential leather sneaker","super bequeme schuhe","rr","tolle bequeme schuhe super zur tragen",2024-02-11,4,"verified purchase"
"96","tommy hilfiger essential leather sneaker","attention  la taille","mario kaszubowski","en lisant les commentaires jai pris une taille en dessous ok pour la longueur cependant la largeur posait problme et entranait des douleurs amazon  effectu lchange pour me renvoyer ma taille habituelle du coup les chaussures sont confortables",2024-01-25,5,"verified purchase"
"97","tommy hilfiger essential leather sneaker","cuir dur au dbut","isler","chaussures peu confortables au dbut il faut les faire peu  peu",2024-02-09,4,"verified purchase"
"98","tommy hilfiger essential leather sneaker","tres bien  esthtique","chauvet jeanluc","bonne chaussuresje glisse un peu sur larrieremais autrement entirement satisfait",2023-10-24,5,"verified purchase"
"99","tommy hilfiger essential leather sneaker","belles","rvc","taille trs grand  vaut un grand ",2023-11-13,4,"verified purchase"
"100","tommy hilfiger essential leather sneaker","numero  grande","cyril ","produto de mdia qualidade escolhi o numero  que  o que habitualmente calo e este modelo  demasiado grande",2023-11-13,4,"verified purchase"
"101","xero shoes hfs lightweight barefoot inspired","read the reviewsbought a pairthe reviews were right","johnnyjohnny","im a minimalist runner who took an exceptionally long time in semiminimal transition shoes never sure id go all the way because i run on concrete and asphalt the reason i went minimal was herniated l l back discs that docs said needed surgery and i should never run again the minimalesque running allowed me to keep running but i kept it at zero drop shoes with thicker ish mm soles because of the concrete of late i could feel that the pounding from the thicker soles blunting my footground feel was ironically causing damage to my back i go min having tried full minimal  years ago my feet were just not strong enough to not hurt but a week ago i took an old mm minimal pair of mine to see if i could handle it to save my backand it was much much better so i jumped into the reviews of a half dozen brands to get a true minimal shoe and zero hfs came out pretty much on top despite going down to mm in the hfs i did great i could feel my entire body esp my upper torsoarms getting a fuller workout its a great shoe with a serious purpose helping me keep running despite the back injury note i did think the bulbous front made it look too much like a clown shoe prior to my first runhappy to say the shoe like my cowboy boots conforms to the foot with use and the clownduckfoot look has diminished thanks for an excellent shoe",2023-07-28,4,"verified purchase"
"102","xero shoes hfs lightweight barefoot inspired","defective shoes replaced","michov","this is an update to my original review  the first pair of shoes i recived quickly got some damage on the tongue laceholder and the shoe didnt fit quite well as another pair i had before  after contacting directly the vendor i got the shoes replaced very quickly great service",2023-11-26,5,"verified purchase"
"103","xero shoes hfs lightweight barefoot inspired","transition sucked but my feet feel stronger","michov","i tried vibrams before but felt silly and i couldnt ever bring myself to wear them fulltime when i got these i did that thing your not supposed to and full switched to these as my only shoes it sucked pretty bad for the first  weeks pretty much like walking on concrete barefoot the entire time now my feet feel stronger and i only ever get tired foot pain after a busy long weeki would rate these higher but i tried wearing barefoot once or twice but the shoe rubs on my middle toe joint never seems to be a problem while wearing socks though",2023-09-22,4,"verified purchase"
"104","xero shoes hfs lightweight barefoot inspired","roomy comfortable good value","tagifras","im typically a  e saucony nb got a size  as recommended by reviewersshoes feels pretty loose and roomy not just in the toe box but also around the mid foot section i wouldve guess the shoe is probably equivalent to a e  anyone with a fat foot or a flat foot shouldnt have any problem fitting in unlike other brandsjust from the shape alone since my big toe is shorter then my nd toe id probably be fine with a size  since theres already plenty of room for my dominant toedefinitely not your beginner barefoot transition shoe  ive been running on flats and vibramfingers and the feel is definitely more like my vff but more comfortable and you can feel the groundill definitely stick to xeros for a while",2023-05-18,4,"verified purchase"
"105","xero shoes hfs lightweight barefoot inspired","i finally found my favorite running shoes","mtnbiker","for years i had been purchasing different minimalist shoes some expensive and some cheap looking for a comfortable road running shoe that would last more than a couple of months before wearing through the sole i run a little over  miles a week i had settled on another brand of minimalist running shoes because they would last from four to five months however the quality began to wane badly and the last pair i purchased didnt even last  months my wife saw an ad for xero shoes with a  mile guarantee and suggested them to mewow not only are these the most comfortable shoes ive ever worn but they swallowed my running route whole and spit out the gravel at last i have found the shoes that have eluded me all these years",2023-09-21,4,"verified purchase"
"106","xero shoes hfs lightweight barefoot inspired","great product","michael e","i have been wearing these shoes for all of my exercise sessions over the last few months of ownershipoverall i am pretty impressed and i am happy with them because i desperately needed new exercise footweari could not find anything to complain about with these shoes and that is the highest possible award i can give the product",2023-12-10,4,"verified purchase"
"107","xero shoes hfs lightweight barefoot inspired","very comfortable shoes","amazon customer","update my only issue with these is the insole black insoles have some color dye issue and the black dye seems to create spots on socks each time i wear them the shoes are more than  years old and it still keeps on happening i just ordered hfs  today hope they dont have the same issuewith regular sneakers i used to have pain in the feet calves and back of thighs i came across xero shoes and bought this pair nearly  years back most of my feet pain is gone these are very light and comfortable shoes with the hfs running shoes i have walked for  miles at a time ran  miles x per weekhighly recommend it i bought another pair for office use after success with the st one",2023-05-16,5,"verified purchase"
"108","xero shoes hfs lightweight barefoot inspired","great shoe but started falling apart in toes","anonymous","had these shoes for about  months got close to  miles out of them and they started to fall apart in on the edge of the soles i reached out to xero to get them replaced and they got back to me glad they got back to me and can get them replaced under warranty",2023-12-13,5,"verified purchase"
"109","xero shoes hfs lightweight barefoot inspired","great travel shoe","fit horrible and not that comfortable","as an airline pilot i am always looking for the perfect travel shoes living out of a suitcase for half of the week you quickly figure out how much space a pair of shoes takes up this is what originally got me into wearing minimalistbarefoot shoes about ten years ago since then i have gone backandforth between wearing minimalist and traditional shoes i recently switched to international flying and once again had to address my travel shoe needs the xero shoes mens hfs shoe fits my travel needs perfectly supper comfortable the laces cinch down perfectly and holds its position i think this design would accommodate a good number foot widths i love working out in them using them on long city walks or just kicking back in them on layovers normally my travel shoes stay in my suitcase when im home but i keep taking them out to workout in because im enjoying them so much maybe i should get a second pair  they dont look too wide in the toe box we all know how some of these shoes make you look like you have duck feet as my wife has pointed out about several other shoes i have owned in the past xero shoes has done a good job on updating there designs not sure i love all their colors this could be an area they could improve on i like this shoe so much i recently picked up a pair of xero shoes daylite hiker fusion hiking boots not sure if ill use this shoe for my work travels but im thinking it will be a good shoe for local hiking and fishing in colorado ill post a review later next on my list will be a pair of  running sandals and an all around travel shoe i have a big wishlist for this one ill post an update if i find some that i like safe travels",2022-03-08,4,"verified purchase"
"110","xero shoes hfs lightweight barefoot inspired","toe box","fit horrible and not that comfortable","for a barefoot shoe the toe box could be a lot wider",2024-02-27,5,"verified purchase"
"111","xero shoes hfs lightweight barefoot inspired","comfortable wider than most","suppingsam","i like these shoes  they are almost too wide for me but they lace up snuggly and make it ok the shoelaces are like heavy parachute cord i wish all my shoes had themshoes are very light and i enjoy wearing for casual and balanceagility types of work outspackaging was all recyclable and easy to breakdown",2023-09-06,4,"verified purchase"
"112","xero shoes hfs lightweight barefoot inspired","surpassed my expectations","david bedard","i feel like now i can write an honest review i have run for years  k per week my go to shoes were nb or brooks and i loved them started seeing xero shoes pop up on social media and youtube i looked them for months and it seemed like a gimmick product after some time i said ok i am going to try this shoe and see if they meet their hype in july of this year i ordered the prio cross trainer model now their instructions said adjust over a couple of weeks well i said hell no and put them to the test right out of the box i wore them every chance i got for  days straight i found them comfortable right out of the box and i did not experience any foot or leg discomfort during the break period i began liking them the more i wore them at day  i put my brooks adrenaline runners on within  mins i was aware of how unbalanced i was in that shoe and while walking around in my home said i cant wear these any more i have to put my xero shoes on i swear i referred to them specifically i have since purchased  pairs of the hfs model runners and they are my favorite shoe i wear them every day in my old shoes at the end of the day i would change to my slides i literally have these on until i go to bed closest thing to walking barefoot and still having a shoe on",2022-12-07,4,"verified purchase"
