"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"18","New Balance 1080V12 Running Sneakers","Great show but go down half a size","Amazon Customer","Running distance and needing support and comfort this shoe was recommended for me. Great fit not too much room width wise in the toe box but did need to go down a half size. I usually wear 9.5 for running and 8.5 in all other shoes but I orderd the 9 and they work great. The peach color is definitely a lot brighter in person so if you dont like neon dont get that color. HAPPY RUNNING!","Reviewed in the United States on 24 February 2023","4.0 out of 5 stars","Verified Purchase"
"19","New Balance 1080V12 Running Sneakers","Fit and Color","MV","I loved these shoes as I received them for Christmas. My husband ordered the size I normally wear in New Balance however these fit almost a size larger. I was so disappointed to send these back. I could tell they would have been a comfortable shoe, maybe not for high impact sports or running but for a lot walking or standing for long periods of time these would be perfect. I took one star off because the sizing, in my opinion was off.","Reviewed in the United States on 16 February 2023","4.0 out of 5 stars","Verified Purchase"
"20","New Balance 1080V12 Running Sneakers","Walking on clouds!!","Ray","These are exactly what I was looking for!!! I have custom insoles to treat my flat feet and they're pretty thick - it's always been a struggle to find sneakers that have a deep enough heel cup to accommodate my insoles. These sneakers fit them in PERFECTLY. Enough room for my insoles and my heels don't slip out when I walk! They're so fluffy to walk with and obviously well-made. Very good construction, good materials, stretchy laces, and soft mesh. I'm always a 7 in normal shoes but an 8 in New Balance, so these technically fit according to size. I love the Wide versions of New Balance sneakers - soooo comfortable. Don't hesitate and get these immediately! I haven't washed them in the machine yet but I imagine they'll come out good as new when it's time.","Reviewed in the United States on 16 September 2022","4.0 out of 5 stars","Verified Purchase"
"21","New Balance 1080V12 Running Sneakers","Great for Zumba exercising","HappyWife","Comfortable and supportive. Hasots of padding but not too squishy. Will buy again.","Reviewed in the United States on 21 October 2023","4.6 out of 5 stars","Verified Purchase"
"22","New Balance 1080V12 Running Sneakers","New Balance","LaVaune Hurt","Perfect shoe. True to size. Most comfortable running shoes in the planet!!!!!!","Reviewed in the United States on 15 October 2023","5.0 out of 5 stars","Verified Purchase"
"23","New Balance 1080V12 Running Sneakers","Good Shoes","Alexis","They fitted as expected and are very comfortable. I work 12 hours shifts at a hospital and I'm very pleased with this purchase.","Reviewed in the United States on 15 September 2023","5.0 out of 5 stars","Verified Purchase"
"24","New Balance 1080V12 Running Sneakers","Perfect fit","JMZ","Lightweight comfortable fit I can walk and stand in them all day and I would definitely order again","Reviewed in the United States on 13 September 2023","5.0 out of 5 stars","Verified Purchase"
"25","New Balance 1080V12 Running Sneakers","Not worth price","Amazon Customer","I've had these shoes for less than four months and I already need a new pair. I absolutely love new balance and they usually last me a lot longer. I feel like for the amount of money I paid for these shoes this shouldn't be happening. Im experiencing a lot of leg and foot pain.","Reviewed in the United States on 18 January 2024","5.0 out of 5 stars","Verified Purchase"
"26","New Balance 1080V12 Running Sneakers","Very cute","Destiny","Haven’t tried them on but I love them. I was a little hesitant about buying the all white new balances simply because plain white hardly looks good on me but I don’t have a doubt with these because they are so cute and look very comfy which is my style","Reviewed in the United States on 21 June 2023","2.0 out of 5 stars","Verified Purchase"
"27","New Balance 1080V12 Running Sneakers","Pillowy Soft","JenWG","I have been a die-hard Asics wearer for ten years and after a series of failed redesigns and discontinuations, I tried New Balance. The FF 1080s are so comfortably squishy and soft for periods of long wear. Great for supinators with the low heel-to-toe height, roomy toe box and snug heel. I ignored multiple recommendations because of my loyalty to Asics but now I am a believer!","Reviewed in the United States on 11 April 2023","5.0 out of 5 stars","Verified Purchase"
"28","New Balance 1080V12 Running Sneakers","super comfortable...","Jana","It really feels like I am walking on a cloud. I am on my feet 13 hours a day doing support work for folks with disabilities and at the end of the day unlike other shoes I'm in no hurry to take them off bcuz they are so comfortable. Will be repurchasing when these wear down.","Reviewed in the United States on 16 June 2023","5.0 out of 5 stars","Verified Purchase"
"29","New Balance 1080V12 Running Sneakers","Super support and comfort","Claudia Dozier","Liked how they fit accurately and feel so good.This a great shoe!","Reviewed in the United States on 15 September 2023","5.0 out of 5 stars","Verified Purchase"
"30","New Balance 1080V12 Running Sneakers","Fit. They are so roomy in the toe area. ❤️","Shirley Turner","Love the shoes.","Reviewed in the United States on 7 October 2023","5.0 out of 5 stars","Verified Purchase"
"31","New Balance 1080V12 Running Sneakers","Love these.","Wendy D.","I really like these running shoes. My second pair. I find them very well cushioned.","Reviewed in the United States on 24 July 2023","4.6 out of 5 stars","Verified Purchase"
"32","New Balance 1080V12 Running Sneakers","Super Comfortable!!!!","Danyelle","These shoes are extremely comfortable! I wear a 11.5 wide in women’s and ordered an 11.5 regular. I could have probably went down an 1/2size.","Reviewed in the United States on 12 July 2023","5.0 out of 5 stars","Verified Purchase"
"33","New Balance 1080V12 Running Sneakers","Best shoes for support","Danyelle","Fast shipping! Best shoes for someone on their feet ALL day!  Great fit. Excellent support and comfort.","Reviewed in the United States on 16 July 2023","5.0 out of 5 stars","Verified Purchase"
"34","New Balance 1080V12 Running Sneakers","Honestly, not that comfortable","Jimmy Moss","They are ok, but nothing special in terms of comfort. They feel like quality shoes but they aren't really soft or foamy; they feel pretty stiff to me. I'll be returning them","Reviewed in the United States on 19 June 2023","5.0 out of 5 stars","Verified Purchase"
"35","New Balance 1080V12 Running Sneakers","Finally a perfect fit!","Brad A.","I was born “blessed” with an extra wide forefoot and skinny heel.  This makes it impossible to find shoes that truly fit without slipping in the heel area.  I can finally say a shoe manufacturer got it RIGHT!!  My feet have found their true home, lightweight, cushioned and attractive.  I’ve found footwear bliss!","Reviewed in the United States on 9 February 2023","5.0 out of 5 stars","Verified Purchase"
"36","New Balance 1080V12 Running Sneakers","The shoes I have been waiting for!","Linda T","Enough support for stability and enough foam for comfort.  Highly recommend!","Reviewed in the United States on 13 June 2023","3.0 out of 5 stars","Verified Purchase"
"37","New Balance 1080V12 Running Sneakers","Great Shoes","Elizabeth","Love the fit, comfort and style of the running shoe.","Reviewed in the United States on 10 June 2023","5.0 out of 5 stars","Verified Purchase"
"38","New Balance 1080V12 Running Sneakers","Extremely Comfortable","Sandy Eagel","These shoes extremely comfortable for standing all day at work. Also they support your feet well. Idefinitely would recommend these if you're on your feet all day.","Reviewed in the United States on 1 April 2023","5.0 out of 5 stars","Verified Purchase"
"39","New Balance 1080V12 Running Sneakers","Comfy shoes","LisaMarie","I’m a nurse and am on my feet for long hours. These shoes are very comfortable.","Reviewed in the United States on 22 May 2023","5.0 out of 5 stars","Verified Purchase"
"40","New Balance 1080V12 Running Sneakers","Very comfortable!","Adam","These have been my go-to shoes for awhile. I have fallen arches and am a teacher, so on feet for long periods. The cushioning is excellent and there is not a high arch in the shoe which great for people with flat feet!  I have worn regular width in past, but have had ankle surgery so went with wide. Perfect fit. Highly recommend!","Reviewed in the United States on 6 December 2022","5.0 out of 5 stars","Verified Purchase"
"41","New Balance 1080V12 Running Sneakers","Great running shoes!","SMS","Love these shoes and will be ordering a 2nd pair.","Reviewed in the United States on 22 May 2023","4.6 out of 5 stars","Verified Purchase"
"42","New Balance 1080V12 Running Sneakers","Comfortable!","Amazon Customer","Too wide looking at the toe box. Looked like clown shoes.","Reviewed in the United States on 16 June 2023","5.0 out of 5 stars","Verified Purchase"
"43","New Balance 1080V12 Running Sneakers","CLOUD","Hannah Vivier","These are the first pair of running shoes I fell immediately in love with. They are SO comfortable.","Reviewed in the United States on 2 May 2023","3.0 out of 5 stars","Verified Purchase"
"44","New Balance 1080V12 Running Sneakers","Love these,  so cute.","K. L. Santos","I ordered these on try before you buy and immediately after trying them on I purchased them!! Very comfortable and more beautiful in person.","Reviewed in the United States on 16 February 2023","5.0 out of 5 stars","Verified Purchase"
"45","New Balance 1080V12 Running Sneakers","Cómodos","carmen ortiz","Trabajo 12 horas caminando de lado a lado, muy comodos","Reviewed in the United States on 9 March 2023","5.0 out of 5 stars","Verified Purchase"
"46","New Balance 1080V12 Running Sneakers","Comfortable & cool color","Paula","Love New Balance shoes, but I love bright yellow shoes! They are the first to sell out!","Reviewed in the United States on 12 February 2023","5.0 out of 5 stars","Verified Purchase"
"47","New Balance 1080V12 Running Sneakers","Love these shoes!","Ingrid","Awesome comfort!","Reviewed in the United States on 19 April 2023","5.0 out of 5 stars","Verified Purchase"
"48","New Balance 1080V12 Running Sneakers","Conforn","Sofia Gonzalez","Absolutamente confortables y hermosos","Reviewed in the United States on 23 March 2023","5.0 out of 5 stars","Verified Purchase"
"49","New Balance 1080V12 Running Sneakers","Arch support","Sofia Gonzalez","Pretty good arch support","Reviewed in the United States on 13 March 2023","5.0 out of 5 stars","Verified Purchase"
"50","New Balance 1080V12 Running Sneakers","Most comfortable shoes ever","Bonnie C","I have a hard to find size (5 1/2 EEE) and the 5 1/2 X-Wide are the most comfortable sneakers I've owned in many years. The fit is perfect.","Reviewed in the United States on 9 August 2022","5.0 out of 5 stars","Verified Purchase"
"51","TOMMY HILFIGER Essential Leather Sneaker","Good quality & value","Nikhil","Good service and quality product","Reviewed in Australia on 30 November 2023","4.4 out of 5 stars","Verified Purchase"
"52","TOMMY HILFIGER Essential Leather Sneaker","Défaut de fabrication coupure pied droit","Chris@1","J'espère un contact avec le vendeur qu'il puisse me renvoyer une autre paire.","Reviewed in Australia on 7 November 2023","5.0 out of 5 stars","Verified Purchase"
"53","TOMMY HILFIGER Essential Leather Sneaker","Bequemer Schuh","Mr K Sutcliffe","Bequeme Schuhe.Sitzt und sieht gut aus.","Reviewed in the United Kingdom on 11 December 2023","3.0 out of 5 stars","Verified Purchase"
"54","TOMMY HILFIGER Essential Leather Sneaker","Comodas","Karine","Muy cómodas y bonitas","Reviewed in Belgium on 23 August 2023","5.0 out of 5 stars","Verified Purchase"
"55","TOMMY HILFIGER Essential Leather Sneaker","Scarpe comode e con un bel design","Karine","Scarpe comode e versatili, adatte all' abbigliamento sportivo e casual.","Reviewed in Germany on 13 February 2024","1.0 out of 5 stars","Verified Purchase"
"56","TOMMY HILFIGER Essential Leather Sneaker","BOITE A CHAUSSURE","Levinia Kern","Bonjour, la paire de Basket est très jolie mais faut faire attention à la pointure car elles sont trop grande après avoir vue les avis c'est ce qu'il m'a fait prendre du 41 alors que je fais du 42 Français , mais il y a encore une demi pointure en plus , donc pour ces baskets faut lever une pointure et demi pour retrouver une pointure normale , j'ai rencontré aussi un autre problème à la livraison j'ai reçus mes baskets dans sa boite avec une grosse étiquette dessus de mon adresse que je ne peu plus lever car je risque de l'abimer et aucune protection pour la boite à chaussure (sachet, papier ,bulle gomme, carton )  la boite s'ouvrait toute seule tout le monde à pu voir que c'était des baskets , j'ai eu de la chance qu'elles soient arrivé chez moi , mis à par ça tout va ,merci","Reviewed in Spain on 9 January 2024","1.0 out of 5 stars","Verified Purchase"
"57","TOMMY HILFIGER Essential Leather Sneaker","Very good looking but size not good","YOLANDA R.","I liked this sneakers allot and they feel well made however the size is not right for me so I had to send them back.","Reviewed in Italy on 4 January 2024","5.0 out of 5 stars","Verified Purchase"
"58","TOMMY HILFIGER Essential Leather Sneaker","son tal cual en la foto","manuela","son divinas","Reviewed in France on 14 December 2023","5.0 out of 5 stars","Verified Purchase"
"59","TOMMY HILFIGER Essential Leather Sneaker","Bien","Momon","Bien","Reviewed in the United Kingdom on 24 June 2022","4.0 out of 5 stars","Verified Purchase"
"60","TOMMY HILFIGER Essential Leather Sneaker","Great sneaker","Catalin","I love it, fits well and I will definitely  consider another pair","Reviewed in Spain on 6 January 2024","4.0 out of 5 stars","Verified Purchase"
"61","TOMMY HILFIGER Essential Leather Sneaker","Excellent","Nikhil","Très belle et bonne qualité du cuir","Reviewed in Australia on 30 November 2023","4.4 out of 5 stars","Verified Purchase"
"62","TOMMY HILFIGER Essential Leather Sneaker","Belle e comode","Chris@1","The media could not be loaded.
                
            
                
            
        
    
    
Scarpe veramente molto belle e soprattutto comode. Nonostante il tacco sia basso, risultano morbide e nn danno fastidio alla schiena. Consiglio una taglia più piccola rispetto a quello che si calza normalmente, infatti ho dovuto fare il reso e prendere un 41 al posto del 42","Reviewed in Australia on 7 November 2023","5.0 out of 5 stars","Verified Purchase"
"63","TOMMY HILFIGER Essential Leather Sneaker","Son muy bonitas","Nous n'avons pas reçu le même article commandé et le numéro de commande ne correspond pas. Nous allons déposer une plainte .","Son bonitas y está bien terminadas, por ponerle una pega es que en comparación con otras marcas vienen grandecillos","Reviewed in France on 23 January 2024","3.0 out of 5 stars","Verified Purchase"
"64","TOMMY HILFIGER Essential Leather Sneaker","Pointure exact","ivan","Satisfaite des Chaussures et bonne pointurePetit conseil prendre la pointure habituelle","Reviewed in Italy on 2 January 2024","5.0 out of 5 stars","Verified Purchase"
"65","TOMMY HILFIGER Essential Leather Sneaker","Muy buenos","Eduardo","Llegaron a tiempo son de buena calidad muy bien","Reviewed in Spain on 14 March 2024","5.0 out of 5 stars","Verified Purchase"
"66","TOMMY HILFIGER Essential Leather Sneaker","Excellent achat","Bhulya","Baskets conformes à la description, confortables.","Reviewed in Belgium on 13 December 2023","4.0 out of 5 stars","Verified Purchase"
"67","TOMMY HILFIGER Essential Leather Sneaker","Scarpe","cristian franco","Ho acquistato queste scarpe per un regalo. Perfette.","Reviewed in Spain on 15 March 2024","5.0 out of 5 stars","Verified Purchase"
"68","TOMMY HILFIGER Essential Leather Sneaker","Schlechte Qualität","DAVID PETIT","Für den Alltag werden diese Schuhe schnell abgenutzt und reissen, sehr schade.","Reviewed in Belgium on 8 November 2023","5.0 out of 5 stars","Verified Purchase"
"69","TOMMY HILFIGER Essential Leather Sneaker","Poor quality","Giada","I bought these in August, the ‘leather’ started bubbling after about a month of light wearing, by December it had started pealing off. Disappointed as I’ve bought cheaper pumps that were better quality! I expected better quality for the price I paid","Reviewed in Italy on 8 February 2024","5.0 out of 5 stars","Verified Purchase"
"70","TOMMY HILFIGER Essential Leather Sneaker","Mauvaise qualité","Martins Ribeiro Jonathan","Bonjour, juste pour vous dire que suis très déçu de mon dernier achat, la qualité du cuir est de très mauvaise qualité, les tennis ont toust juste 2 mois et le cuir se fissure, cuir c'est du papier à cigarette. CordialementFred Flori","Reviewed in Germany on 27 January 2024","5.0 out of 5 stars","Verified Purchase"
"71","TOMMY HILFIGER Essential Leather Sneaker","White trainer shoes","Nikhil","Great value, comfy trainer shoes","Reviewed in Australia on 30 November 2023","4.4 out of 5 stars","Verified Purchase"
"72","TOMMY HILFIGER Essential Leather Sneaker","Très belles. Bonne qualité.","Chris@1","Bonne qualité générale. Semelle souple et confortable.Taille grand.Je prends du 43 en Nike pour être confortable. Ici j'ai pris 41, et ça taille juste.","Reviewed in Australia on 7 November 2023","5.0 out of 5 stars","Verified Purchase"
"73","TOMMY HILFIGER Essential Leather Sneaker","Top","Lisa","Super Schuhe 👟","Reviewed in the United Kingdom on 17 December 2023","3.0 out of 5 stars","Verified Purchase"
"74","TOMMY HILFIGER Essential Leather Sneaker","Belle ma attenti alla misura!","Nicolas Veronesi","Solitamente porto la 42 delle adidas, quindi ho acquistato la taglia 42 anche di queste, però vestono più larghe, sarebbe stato meglio acquistare la 41. Quindi le scarpe sono ottime ma state attenti alla vestibilità.","Reviewed in Belgium on 5 October 2023","5.0 out of 5 stars","Verified Purchase"
"75","TOMMY HILFIGER Essential Leather Sneaker","Magnifiques","Dalibor","Fines et confortables, en promotion alors que dire d'autre?Elles taillent bien!","Reviewed in Germany on 17 February 2024","5.0 out of 5 stars","Verified Purchase"
"76","TOMMY HILFIGER Essential Leather Sneaker","Mala calidad","Paolo","Bambas poco usadas y se han pelado por todas partes. Muy caras para la mala calidad que tienen.","Reviewed in Italy on 3 December 2023","5.0 out of 5 stars","Verified Purchase"
"77","TOMMY HILFIGER Essential Leather Sneaker","Schöner Schuh, Qualität ungenügend!","Missfrofro","Zunächst mal hat man mit dem Sneaker einen sehr schönen Schuh. Die Sohle, die eine Skyline einer Stadt in der Silhouette umreißt, finde ich sehr schön und auch ansonsten fühlt sich der Schuh im ersten Moment sehr wertig an. (Was man bei dem Preis und bei der Marke auch erwarten sollte.Allerdings handelt es sich bei dem Mantelmaterial ausschließlich um Kunstleder.Dieses wiederum reißt an den, dafür prädestinierten stellen, sehr schnell ein.Ich habe den Schuh zunächst reklamiert, weil ich dachte, es sei einfach ein Montagsmodell.Leider musste ich bei dem reklamierten Schuh sehr schnell feststellen, dass es anscheinend ein generelles Problem ist. Der Fakt, dass hier Kunstleder verarbeitet wird, rechtfertigt den Preis dieser Schuhe nicht. Nur weil ein Markt Logo auf der Seite aufgedruckt ist, bin ich im Nachgang nicht mehr bereit diesen Schuh zu kaufen und kann ihn auch nicht weiterempfehlen.Qualität ist in meinen Augen ungenügend und der Schuh als solches einfach nur Verschwendung.","Reviewed in France on 11 December 2023","3.0 out of 5 stars","Verified Purchase"
"78","TOMMY HILFIGER Essential Leather Sneaker","White trainers","Missfrofro","They are comfortable for what I purchased them for and look great","Reviewed in Spain on 16 December 2023","5.0 out of 5 stars","Verified Purchase"
"79","TOMMY HILFIGER Essential Leather Sneaker","Son exactamente las zapatillas que queria","Cliente Amazon","Fue la zapatilla que quería lucir, están muy bonitas","Reviewed in Germany on 30 September 2023","5.0 out of 5 stars","Verified Purchase"
"80","TOMMY HILFIGER Essential Leather Sneaker","Scarpe comode e belle","Tassilo W.","Le scarpe sono un'autentica rivelazione! Comode fin dal primo passo, il loro design è perfetto per ogni occasione. Leggere e alla moda, si adattano al piede in modo impeccabile. La consegna veloce di Amazon ha reso l'acquisto ancora più piacevole. Consigliate a chi cerca comfort e stile in un'unica soluzione!","Reviewed in the United Kingdom on 6 December 2023","1.0 out of 5 stars","Verified Purchase"
"81","TOMMY HILFIGER Essential Leather Sneaker","Très agréable à porter.","Nikhil","Très agréable à porter.","Reviewed in Australia on 30 November 2023","4.4 out of 5 stars","Verified Purchase"
"82","TOMMY HILFIGER Essential Leather Sneaker","Attention à la pluie","Chris@1","Une soirée sous la pluie et elle ont cloquées","Reviewed in Australia on 7 November 2023","5.0 out of 5 stars","Verified Purchase"
"83","TOMMY HILFIGER Essential Leather Sneaker","S'abîme au bout d'1 mois.","Manu Hoebeke","A la réception très satisfait du produit. Baskets portes quelques fois et mauvaise surprise elles ""cloques"". Très décevant je vais contacter le service client.","Reviewed in Belgium on 15 October 2023","3.0 out of 5 stars","Verified Purchase"
"84","TOMMY HILFIGER Essential Leather Sneaker","👍","BONLEUX Denis","👍","Reviewed in France on 19 January 2024","5.0 out of 5 stars","Verified Purchase"
"85","TOMMY HILFIGER Essential Leather Sneaker","Wunderbare Passform","Client d'Amazon","Wunderbare PassformAngenehm zu tragenschönes Aussehennicht so wuchtig, sehr elegant","Reviewed in France on 14 August 2023","5.0 out of 5 stars","Verified Purchase"
"86","TOMMY HILFIGER Essential Leather Sneaker","Bom preço/qualidade","neil hughes","Não são as melhores sapatilhas que já calcei, mas são bonitas, fáceis de limpar e são razoavelmente confortáveis. São o esperado","Reviewed in the United Kingdom on 7 January 2024","3.0 out of 5 stars","Verified Purchase"
"87","TOMMY HILFIGER Essential Leather Sneaker","Le peggiori scarpe mai comprate, sul serio","Amazon Kunde","Dopo un mese di utilizzo quella che doveva essere pelle si inizia a staccare dalla scarpa come se ci fossero delle bolle sotto, due mesi dopo si iniziano a crepare e si intravede il materiale sotto il rivestimento in pelle. Tre mesi dopo le scarpe sono inguardabili... E pensare che costano 100 euro, menomale almeno le ho pagate la metà. Non comprerò mai più scarpe da brand che non sanno nati per fare scarpe. Torno a Nike e consiglio di non comprare questa robaccia da due soldi.","Reviewed in Germany on 12 January 2024","5.0 out of 5 stars","Verified Purchase"
"88","TOMMY HILFIGER Essential Leather Sneaker","Ok","Gonçalo","Ok","Reviewed in Spain on 29 January 2024","5.0 out of 5 stars","Verified Purchase"
"89","TOMMY HILFIGER Essential Leather Sneaker","Cuir","Luca P.","Est-ce vraiment du cuir… ?Mais sinon assez bonne facture, le petit logo sur le coté est discret mais du meilleur effetTaille un peu grand (longueur) et un peu étroit, mais bon rapport qualité prix ; en ce qui me concerne, je n’aurais pas payé le prix fort","Reviewed in Italy on 3 February 2024","5.0 out of 5 stars","Verified Purchase"
"90","TOMMY HILFIGER Essential Leather Sneaker","Zapatillas","Michael","Están bastante bien","Reviewed in France on 26 February 2024","1.0 out of 5 stars","Verified Purchase"
"91","TOMMY HILFIGER Essential Leather Sneaker","Correcr","Nikhil","Article correct, le seul bémol, il n’y a pas de boite","Reviewed in Australia on 30 November 2023","4.4 out of 5 stars","Verified Purchase"
"92","TOMMY HILFIGER Essential Leather Sneaker","Tallan algo grandes","Chris@1","Tenis muy bonitos, básicos, sencillos y aparentemente cómodos, ya que, en mi caso la talla me resultó más grande de lo normal, llevo un 41 pero en este modelo ese número me quedaba demasiado grande y he tenido que devolverlos","Reviewed in Australia on 7 November 2023","5.0 out of 5 stars","Verified Purchase"
"93","TOMMY HILFIGER Essential Leather Sneaker","Meine Lieblingsschuhe","Ccoco","Wirklich klasse Schuhe, die ich sehr gerne trage.","Reviewed in France on 18 December 2023","3.0 out of 5 stars","Verified Purchase"
"94","TOMMY HILFIGER Essential Leather Sneaker","Top","Ajon84","Top","Reviewed in Spain on 24 November 2023","4.0 out of 5 stars","Verified Purchase"
"95","TOMMY HILFIGER Essential Leather Sneaker","Super Bequeme Schuhe","RR","Tolle bequeme Schuhe super zur tragen","Reviewed in Germany on 11 February 2024","4.0 out of 5 stars","Verified Purchase"
