"","title","author","subject","abstract","date"
"11","hex: high-pressure elemental xstals, a complete database","federico giannessi, simone di cataldo, santanu saha, lilia boeri","materials science","this paper introduces the hex (high-pressure elemental xstals) database, a complete database of the ground-state crystal structures of the first 57 elements of the periodic table, from h to la, at 0, 100, 200 and 300 gpa. hex aims to provide a unified reference for high-pressure research, by compiling all available experimental information on elements at high pressure, and complementing it with the results of accurate evolutionary crystal structure prediction runs based on density functional theory. besides offering a much-needed reference, our work also serves as a benchmark of the accuracy of current ab-initio methods for crystal structure prediction. we find that, in 98 % of the cases in which experimental information is available, ab-initio crystal structure prediction yields structures which either coincide or are degenerate in enthalpy to within 300 k with experimental ones. the main manuscript contains synthetic tables and figures, while the crystallographic information file (cif) for all structures will be available on a figshare online repository when the paper will be published.",2024-03-14
"12","algorithmic syntactic causal identification","dhurim cakiqi, max a. little","artificial intelligence","causal identification in causal bayes nets (cbns) is an important tool in causal inference allowing the derivation of interventional distributions from observational distributions where this is possible in principle. however, most existing formulations of causal identification using techniques such as d-separation and do-calculus are expressed within the mathematical language of classical probability theory on cbns. however, there are many causal settings where probability theory and hence current causal identification techniques are inapplicable such as relational databases, dataflow programs such as hardware description languages, distributed systems and most modern machine learning algorithms. we show that this restriction can be lifted by replacing the use of classical probability theory with the alternative axiomatic foundation of symmetric monoidal categories. in this alternative axiomatization, we show how an unambiguous and clean distinction can be drawn between the general syntax of causal models and any specific semantic implementation of that causal model. this allows a purely syntactic algorithmic description of general causal identification by a translation of recent formulations of the general id algorithm through fixing. our description is given entirely in terms of the non-parametric admg structure specifying a causal model and the algebraic signature of the corresponding monoidal category, to which a sequence of manipulations is then applied so as to arrive at a modified monoidal category in which the desired, purely syntactic interventional causal model, is obtained. we use this idea to derive purely syntactic analogues of classical back-door and front-door causal adjustment, and illustrate an application to a more complex causal model.",2024-03-14
"13","the nerfect match: exploring nerf features for visual localization","qunjie zhou, maxim maximov, or litany, laura leal-taixé","computer vision and pattern recognition","in this work, we propose the use of neural radiance fields (nerf) as a scene representation for visual localization. recently, nerf has been employed to enhance pose regression and scene coordinate regression models by augmenting the training database, providing auxiliary supervision through rendered images, or serving as an iterative refinement module. we extend its recognized advantages -- its ability to provide a compact scene representation with realistic appearances and accurate geometry -- by exploring the potential of nerf's internal features in establishing precise 2d-3d matches for localization. to this end, we conduct a comprehensive examination of nerf's implicit knowledge, acquired through view synthesis, for matching under various conditions. this includes exploring different matching network architectures, extracting encoder features at multiple layers, and varying training configurations. significantly, we introduce nerfmatch, an advanced 2d-3d matching function that capitalizes on the internal knowledge of nerf learned via view synthesis. our evaluation of nerfmatch on standard localization benchmarks, within a structure-based pipeline, sets a new state-of-the-art for localization performance on cambridge landmarks.",2024-03-14
"14","impact of synthetic images on morphing attack detection using a siamese network","juan tapia, christoph busch","computer vision and pattern recognition","this paper evaluated the impact of synthetic images on morphing attack detection (mad) using a siamese network with a semi-hard-loss function. intra and cross-dataset evaluations were performed to measure synthetic image generalisation capabilities using a cross-dataset for evaluation. three different pre-trained networks were used as feature extractors from traditional mobilenetv2, mobilenetv3 and efficientnetb0. our results show that mad trained on efficientnetb0 from feret, frgcv2, and frll can reach a lower error rate in comparison with sota. conversely, worse performances were reached when the system was trained only with synthetic images. a mixed approach (synthetic + digital) database may help to improve mad and reduce the error rate. this fact shows that we still need to keep going with our efforts to include synthetic images in the training process.",2024-03-14
"15","retrieval augmented text-to-sql generation for epidemiological question answering using electronic health records","angelo ziletti, leonardo d'ambrosi","computation and language","electronic health records (ehr) and claims data are rich sources of real-world data that reflect patient health status and healthcare utilization. querying these databases to answer epidemiological questions is challenging due to the intricacy of medical terminology and the need for complex sql queries. here, we introduce an end-to-end methodology that combines text-to-sql generation with retrieval augmented generation (rag) to answer epidemiological questions using ehr and claims data. we show that our approach, which integrates a medical coding step into the text-to-sql process, significantly improves the performance over simple prompting. our findings indicate that although current language models are not yet sufficiently accurate for unsupervised use, rag offers a promising direction for improving their capabilities, as shown in a realistic industry setting.",2024-03-14
"16","ai on ai: exploring the utility of gpt as an expert annotator of ai publications","autumn toney-wails, christian schoeberl, james dunham","computation and language","identifying scientific publications that are within a dynamic field of research often requires costly annotation by subject-matter experts. resources like widely-accepted classification criteria or field taxonomies are unavailable for a domain like artificial intelligence (ai), which spans emerging topics and technologies. we address these challenges by inferring a functional definition of ai research from existing expert labels, and then evaluating state-of-the-art chatbot models on the task of expert data annotation. using the arxiv publication database as ground-truth, we experiment with prompt engineering for gpt chatbot models to identify an alternative, automated expert annotation pipeline that assigns ai labels with 94% accuracy. for comparison, we fine-tune specter, a transformer language model pre-trained on scientific publications, that achieves 96% accuracy (only 2% higher than gpt) on classifying ai publications. our results indicate that with effective prompt engineering, chatbots can be used as reliable data annotators even where subject-area expertise is required. to evaluate the utility of chatbot-annotated datasets on downstream classification tasks, we train a new classifier on gpt-labeled data and compare its performance to the arxiv-trained model. the classifier trained on gpt-labeled data outperforms the arxiv-trained model by nine percentage points, achieving 82% accuracy.",2024-03-14
"17","digitization of astronomical photographic plate of china and astrometric measurement of single-exposure plates","zheng-jun shang, yong yu, liang-liang wang, mei-ting yang, jing yang, shi-yin shen, min liu, quan-feng xu, chen-zhou cui, dong-wei fan, zheng-hong tang, jian-hai zhao","instrumentation and methods for astrophysics","from the mid-19th century to the end of the 20th century, photographic plates served as the primary detectors for astronomical observations. astronomical photographic observations in china began in 1901, and over a century, a total of approximately 30,000 astronomical photographic plates have been captured. these historical plates play an irreplaceable role in conducting long-term, time-domain astronomical research. to preserve and explore these valuable original astronomical observational data, shanghai astronomical observatory has organized the transportation of plates taken at night from various stations across the country to the sheshan plate archive for centralized preservation. for the first time, plate information statistics was performed. on this basis, the plates were cleaned and digitally scanned, and finally digitized images were acquired for 29,314 plates. in this study, using gaia dr2 as the reference star catalog, astrometric processing has been carried out successfully on 15,696 single-exposure plates, including object extraction, stellar identification, and plate model computation. as a result, for long focal length telescopes, such as the 40cm double-tube refractor telescope and the 1.56m reflector telescope at the shanghai astronomical observatory and the 1m reflector telescope at the yunnan astronomical observatory, the astrometric accuracy obtained for their plates is approximately 0.1"" to 0.3"". the distribution of astrometric accuracy for medium and short focal length telescopes ranges from 0.3"" to 1.0"". the relevant data of this batch of plates, including digitized images and stellar catalog of the plates are archived and released by the national astronomical data center. users can access and download plate data based on keywords such as station, telescope, observation year, and observed celestial coordinates.",2024-03-14
"18","using deep learning for morphological classification in pigs with a focus on sanitary monitoring","eduardo bedin, junior silva souza, gabriel toshio hirokawa higa, alexandre pereira, charles kiefer, newton loebens, hemerson pistori","computer vision and pattern recognition","the aim of this paper is to evaluate the use of d-cnn (deep convolutional neural networks) algorithms to classify pig body conditions in normal or not normal conditions, with a focus on characteristics that are observed in sanitary monitoring, and were used six different algorithms to do this task. the study focused on five pig characteristics, being these caudophagy, ear hematoma, scratches on the body, redness, and natural stains (brown or black). the results of the study showed that d-cnn was effective in classifying deviations in pig body morphologies related to skin characteristics. the evaluation was conducted by analyzing the performance metrics precision, recall, and f-score, as well as the statistical analyses anova and the scott-knott test. the contribution of this article is characterized by the proposal of using d-cnn networks for morphological classification in pigs, with a focus on characteristics identified in sanitary monitoring. among the best results, the average precision metric of 80.6\% to classify caudophagy was achieved for the inceptionresnetv2 network, indicating the potential use of this technology for the proposed task. additionally, a new image database was created, containing various pig's distinct body characteristics, which can serve as data for future research.",2024-03-13
"19","measuring the bioeconomy economically: exploring the connections between concepts, methods, data, indicators and their limitations","sebastián leavy, gabriela allegretti, elen presotto, marco antonio montoya, edson talamini","general economics","despite its relevance, measuring the contributions of the bioeconomy to national economies remains an arduous task that faces limitations. part of the difficulty is associated with the lack of a clear and widely accepted concept of the bioeconomy and moves on to the connections between methods, data and indicators. the present study aims to define the concepts of bioeconomy and to explore the connections between concepts, methods, data and indicators when measuring the bioeconomy economically, and the limitations involved in this process. the bioeconomy concepts were defined based on a literature review and a content analysis of 84 documents selected through snowballing procedures to find articles measuring 'how big is the bioeconomy?'. the content of the 84 documents was uploaded to the qda miner software and coded according to the bioeconomy concept, the methods or models used, the data sources accessed, the indicators calculated, and the limitations reported by the authors. the results of the occurrence and co-occurrence of the codes were extracted and analyzed statistically, indicating that the measurement of bioeconomy (i) need recognize and pursue the proposed concept of holistic bioeconomy; (ii) rarely considered aspects of holistic bioeconomy (3.5%); (iii) is primarily based on the concept of biomass-based bioeconomy (bmbb) (94%); (iv) the association with the concept of biosphere (bsbb) appeared in 26% of the studies; (v) the biotech-based bioeconomy (btbb) was the least frequent (1.2%); (vi) there is a diversity of methods and models, but the most common are those traditionally used to measure macroeconomic activities, especially input-output models; (vii) depending on the prevailing methods, the data comes from various official statistical databases, such as national accounts and economic activity classification systems;...",2024-03-13
"20","stacking-based deep neural network for player scouting in football 1","simon lacan (imt nord europe)","machine learning","datascouting is one of the most known data applications in professional sport, and specifically football. its objective is to analyze huge database of players in order to detect high potentials that can be then individually considered by human scouts. in this paper, we propose a stacking-based deep learning model to detect high potential football players. applied on open-source database, our model obtains significantly better results that classical statistical methods.",2024-03-13
"21","ilciter: evidence-grounded interpretable local citation recommendation","sayar ghosh roy, jiawei han","information retrieval","existing machine learning approaches for local citation recommendation directly map or translate a query, which is typically a claim or an entity mention, to citation-worthy research papers. within such a formulation, it is challenging to pinpoint why one should cite a specific research paper for a particular query, leading to limited recommendation interpretability. to alleviate this, we introduce the evidence-grounded local citation recommendation task, where the target latent space comprises evidence spans for recommending specific papers. using a distantly-supervised evidence retrieval and multi-step re-ranking framework, our proposed system, ilciter, recommends papers to cite for a query grounded on similar evidence spans extracted from the existing research literature. unlike past formulations that simply output recommendations, ilciter retrieves ranked lists of evidence span and recommended paper pairs. secondly, previously proposed neural models for citation recommendation require expensive training on massive labeled data, ideally after every significant update to the pool of candidate papers. in contrast, ilciter relies solely on distant supervision from a dynamic evidence database and pre-trained transformer-based language models without any model training. we contribute a novel dataset for the evidence-grounded local citation recommendation task and demonstrate the efficacy of our proposed conditional neural rank-ensembling approach for re-ranking evidence spans.",2024-03-13
"22","evaluation and comparison of covariate balance metrics in studies with time-dependent confounding","david adenyo, jason r. guertin, bernard candas, caroline sirois, denis talbot","methodology","marginal structural models have been increasingly used by analysts in recent years to account for confounding bias in studies with time-varying treatments. the parameters of these models are often estimated using inverse probability of treatment weighting. to ensure that the estimated weights adequately control confounding, it is possible to check for residual imbalance between treatment groups in the weighted data. several balance metrics have been developed and compared in the cross-sectional case but have not yet been evaluated and compared in longitudinal studies with time-varying treatment. we have first extended the definition of several balance metrics to the case of a time-varying treatment, with or without censoring. we then compared the performance of these balance metrics in a simulation study by assessing the strength of the association between their estimated level of imbalance and bias. we found that the mahalanobis balance performed best.finally, the method was illustrated for estimating the cumulative effect of statins exposure over one year on the risk of cardiovascular disease or death in people aged 65 and over in population-wide administrative data. this illustration confirms the feasibility of employing our proposed metrics in large databases with multiple time-points.",2024-03-13
"23","metallicities for more than 10 million stars derived from gaia bp/rp spectra","t. xylakis-dornbusch, n. christlieb, t.t. hansen, t.nordlander, k. b. webber, j. marshall","solar and stellar astrophysics","context. the third gaia data release, which includes bp/rp spectra for 219 million sources, has opened a new window in the exploration of the chemical history and evolution of the milky way. the wealth of information encapsulated in these data is far greater than their low resolving power (r=50) at first glance would suggest, as shown in many studies. we zero in on the use of this data for the purpose of the detection of ''new'' metal-poor stars, which are hard to find yet essential for understanding - among other - several aspects of the origin of the galaxy, star formation and the creation of the elements. aims. we strive to refine a metal-poor candidate selection method which was developed with simulated gaia bp/rp spectra, with an ultimate objective of providing the community with both a recipe to select stars for medium/high resolution observations and a catalogue of stellar metallicities. methods. we used a datased comprised of galah dr3 and saga database stars in order to verify and adjust to real world data our selection method. for that purpose, we used dereddening as a mean to tackle the issue of extinction, and then we applied our fine-tuned method to select metal-poor candidates, which we thereafter observed and analysed. results. we were able to infer metallicities for galah dr3 and saga stars - with color excesses up to e(b-v)<1.5 - with an uncertainty of 0.36 dex, which is good enough for the purpose of identifying new metal-poor stars. further, we selected 26 metal-poor candidates - via our method - for observations. as spectral analysis showed, 100% of them had [fe/h]<-2.0, 57% had [fe/h]<-2.5 and 8% had [fe/h]<-3.0. we inferred metallicities for these stars with an uncertainty of 0.31 dex, as was proven when comparing to the spectroscopic [fe/h]. finally, we assembled a catalogue of metallicities for 10 861 062 stars.",2024-03-13
"24","the development and performance of a machine learning based mobile platform for visually determining the etiology of penile pathology","lao-tzu allan-blitz, sithira ambepitiya, raghavendra tirupathi, jeffrey d. klausner, yudara kularathne","image and video processing","machine-learning algorithms can facilitate low-cost, user-guided visual diagnostic platforms for addressing disparities in access to sexual health services. we developed a clinical image dataset using original and augmented images for five penile diseases: herpes eruption, syphilitic chancres, penile candidiasis, penile cancer, and genital warts. we used a u-net architecture model for semantic pixel segmentation into background or subject image, the inception-resnet version 2 neural architecture to classify each pixel as diseased or non-diseased, and a salience map using gradcam++. we trained the model on a random 91% sample of the image database using 150 epochs per image, and evaluated the model on the remaining 9% of images, assessing recall (or sensitivity), precision, specificity, and f1-score (accuracy). of the 239 images in the validation dataset, 45 (18.8%) were of genital warts, 43 (18.0%) were of hsv infection, 29 (12.1%) were of penile cancer, 40 (16.7%) were of penile candidiasis, 37 (15.5%) were of syphilitic chancres, and 45 (18.8%) were of non-diseased penises. the overall accuracy of the model for correctly classifying the diseased image was 0.944. between july 1st and october 1st 2023, there were 2,640 unique users of the mobile platform. among a random sample of submissions (n=437), 271 (62.0%) were from the united states, 64 (14.6%) from singapore, 41 (9.4%) from candia, 40 (9.2%) from the united kingdom, and 21 (4.8%) from vietnam. the majority (n=277 [63.4%]) were between 18 and 30 years old. we report on the development of a machine-learning model for classifying five penile diseases, which demonstrated excellent performance on a validation dataset. that model is currently in use globally and has the potential to improve access to diagnostic services for penile diseases.",2024-03-13
"25","learning to describe for predicting zero-shot drug-drug interactions","fangqi zhu, yongqi zhang, lei chen, bing qin, ruifeng xu","computation and language","adverse drug-drug interactions~(ddis) can compromise the effectiveness of concurrent drug administration, posing a significant challenge in healthcare. as the development of new drugs continues, the potential for unknown adverse effects resulting from ddis becomes a growing concern. traditional computational methods for ddi prediction may fail to capture interactions for new drugs due to the lack of knowledge. in this paper, we introduce a new problem setup as zero-shot ddi prediction that deals with the case of new drugs. leveraging textual information from online databases like drugbank and pubchem, we propose an innovative approach textddi with a language model-based ddi predictor and a reinforcement learning~(rl)-based information selector, enabling the selection of concise and pertinent text for accurate ddi prediction on new drugs. empirical results show the benefits of the proposed approach on several settings including zero-shot and few-shot ddi prediction, and the selected texts are semantically relevant. our code and data are available at \url{this https url}.",2024-03-13
"26","translating between sql dialects for cloud migration","ran zmigrod, salwa alamir, xiaomo liu","databases","migrations of systems from on-site premises to the cloud has been a fundamental endeavor by many industrial institutions. a crucial component of such cloud migrations is the transition of databases to be hosted online. in this work, we consider the difficulties of this migration for sql databases. while sql is one of the prominent methods for storing database procedures, there are a plethora of different sql dialects (e.g., mysql, postgres, etc.) which can complicate migrations when the on-premise sql dialect differs to the dialect hosted on the cloud. tools exist by common cloud provides such as aws and azure to aid in translating between dialects in order to mitigate the majority of the difficulties. however, these tools do not successfully translate $100\%$ of the code. consequently, software engineers must manually convert the remainder of the untranslated database. for large organizations, this task quickly becomes intractable and so more innovative solutions are required. we consider this challenge a novel yet vital industrial research problem for any large corporation that is considering cloud migrations. furthermore, we introduce potential avenues of research to tackle this challenge that have yielded promising preliminary results.",2024-03-13
"27","versatile defense against adversarial attacks on image recognition","haibo zhang, zhihua yao, kouichi sakurai","computer vision and pattern recognition","adversarial attacks present a significant security risk to image recognition tasks. defending against these attacks in a real-life setting can be compared to the way antivirus software works, with a key consideration being how well the defense can adapt to new and evolving attacks. another important factor is the resources involved in terms of time and cost for training defense models and updating the model database. training many models that are specific to each type of attack can be time-consuming and expensive. ideally, we should be able to train one single model that can handle a wide range of attacks. it appears that a defense method based on image-to-image translation may be capable of this. the proposed versatile defense approach in this paper only requires training one model to effectively resist various unknown adversarial attacks. the trained model has successfully improved the classification accuracy from nearly zero to an average of 86%, performing better than other defense methods proposed in prior studies. when facing the pgd attack and the mi-fgsm attack, versatile defense model even outperforms the attack-specific models trained based on these two attacks. the robustness check also shows that our versatile defense model performs stably regardless with the attack strength.",2024-03-13
"28","physics-informed generative model for drug-like molecule conformers","david c. williams, neil inala","biomolecules","we present a diffusion-based, generative model for conformer generation. our model is focused on the reproduction of bonded structure and is constructed from the associated terms traditionally found in classical force fields to ensure a physically relevant representation. techniques in deep learning are used to infer atom typing and geometric parameters from a training set. conformer sampling is achieved by taking advantage of recent advancements in diffusion-based generation. by training on large, synthetic data sets of diverse, drug-like molecules optimized with the semiempirical gfn2-xtb method, high accuracy is achieved for bonded parameters, exceeding that of conventional, knowledge-based methods. results are also compared to experimental structures from the protein databank (pdb) and cambridge structural database (csd).",2024-02-29
"29","on hrtf notch frequency prediction using anthropometric features and neural networks","lior arbel, ishwarya ananthabhotla, zamir ben-hur, david lou alon, boaz rafaely","audio and speech processing","high fidelity spatial audio often performs better when produced using a personalized head-related transfer function (hrtf). however, the direct acquisition of hrtfs is cumbersome and requires specialized equipment. thus, many personalization methods estimate hrtf features from easily obtained anthropometric features of the pinna, head, and torso. the first hrtf notch frequency (n1) is known to be a dominant feature in elevation localization, and thus a useful feature for hrtf personalization. this paper describes the prediction of n1 frequency from pinna anthropometry using a neural model. prediction is performed separately on three databases, both simulated and measured, and then by domain mixing in-between the databases. the model successfully predicts n1 frequency for individual databases and by domain mixing between some databases. prediction errors are better or comparable to those previously reported, showing significant improvement when acquired over a large database and with a larger output range.",2024-03-12
